,Unnamed: 0,Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies,Published Date,Maturity Rating,Description,Country,Retail Price,Currency
106,106,22299763,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,"Bardugo, Leigh",,0,0,0,4.57,Orion Children's Books,Kindle Edition,561,2016,,2023-12-29,to-read,to-read (#14),to-read,,,,0,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
107,107,30753841,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,"Nosrat, Samin","Wendy MacNaughton, Michael Pollan",1476753830,9781476753836,5,4.39,Simon and Schuster,Hardcover,480,2017,2023-11-03,2023-12-03,,,read,,,,1,0,2017-04-25,NOT_MATURE,"Whether you've never picked up a knife or you're an accomplished chef, there are only four basic factors that determine how good your food will taste. Salt, Fat, Acid, and Heat are the four cardinal directions of cooking, and they will guide you as you choose which ingredients to use and how to cook them, and they will tell you why last minute adjustments will ensure that food tastes exactly as it should. This book will change the way you think about cooking and eating, and help you find your bearings in any kitchen, with any ingredients, while cooking any meal. --",US,,
108,108,65213543,"Bookshops & Bonedust (Legends & Lattes, #0)",Travis Baldree,"Baldree, Travis",,1250886104,9781250886101,0,4.12,Tor Trade,Paperback,336,2023,,2023-12-10,to-read,to-read (#13),to-read,,,,0,0,2023-11-07,MATURE,"""Viv's career with the notorious mercenary company Rackam's Ravens isn't going as planned. Wounded during the hunt for a powerful necromancer, she's packed off against her will to recuperate in the sleepy beach town of Murk--so far from the action that she worries she'll never be able to return to it. What's a thwarted soldier of fortune to do? Spending her hours at a beleaguered bookshop in the company of its foul-mouthed proprietor is the last thing Viv would have predicted, but it may be both exactly what she needs and the seed of changes she couldn't possibly imagine. Still, adventure isn't all that far away. A suspicious traveler in gray, a gnome with a chip on her shoulder, a summer fling, and an improbable number of skeletons prove Murk to be more eventful than Viv could have ever expected. ""Take a break from epic battles and saving the world.""--",US,,
109,109,180357146,The Covenant of Water,Abraham   Verghese,"Verghese, Abraham",,0802162177,9780802162175,0,4.41,Grove Press,Paperback,715,2023,,2023-12-10,to-read,to-read (#12),to-read,,,,0,0,2023-01-01,NOT_MATURE,"OPRAH'S BOOK CLUB PICK - INSTANT NEW YORK TIMES BESTSELLER - SUBJECT OF A SIX-PART SUPER SOUL PODCAST SERIES HOSTED BY OPRAH WINFREY From the New York Times-bestselling author of Cutting for Stone comes a stunning and magisterial epic of love, faith, and medicine, set in Kerala, South India, following three generations of a family seeking the answers to a strange secret ""One of the best books I've read in my entire life. It's epic. It's transportive . . . It was unputdownable!""--Oprah Winfrey, OprahDaily.com The Covenant of Water is the long-awaited new novel by Abraham Verghese, the author of the major word-of-mouth bestseller Cutting for Stone, which has sold over 1.5 million copies in the United States alone and remained on the New York Times bestseller list for over two years. Spanning the years 1900 to 1977, The Covenant of Water is set in Kerala, on South India's Malabar Coast, and follows three generations of a family that suffers a peculiar affliction: in every generation, at least one person dies by drowning--and in Kerala, water is everywhere. At the turn of the century, a twelve-year-old girl from Kerala's long-existing Christian community, grieving the death of her father, is sent by boat to her wedding, where she will meet her forty-year-old husband for the first time. From this unforgettable new beginning, the young girl--and future matriarch, known as Big Ammachi--will witness unthinkable changes over the span of her extraordinary life, full of joy and triumph as well as hardship and loss, her faith and love the only constants. A shimmering evocation of a bygone India and of the passage of time itself, The Covenant of Water is a hymn to progress in medicine and to human understanding, and a humbling testament to the difficulties undergone by past generations for the sake of those alive today. It is one of the most masterful literary novels published in recent years.",US,,
110,110,61771675,Hello Beautiful,Ann Napolitano,"Napolitano, Ann",,0,0,0,4.13,The Dial Press,Kindle Edition,416,2023,,2023-12-10,to-read,to-read (#11),to-read,,,,0,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
111,111,33574273,"A Wrinkle in Time (Time Quintet, #1)",Madeleine L'Engle,"L'Engle, Madeleine",,1250153271,9781250153272,5,3.97,Square Fish,Paperback,218,1962,2023-11-22,2023-12-02,,,read,,,,1,0,2017-11-07,NOT_MATURE,"A movie tie-in edition to the upcoming major motion picture, now including an introduction by director Ava DuVernay. In 1962, Madeleine L’Engle debuted her novel A Wrinkle in Time, which would go on to win the 1963 Newbery Medal. Bridging science and fantasy, darkness and light, fear and friendship, the story became a classic of children’s literature and is beloved around the world. Now Disney is taking it to the silver screen! With an all-star cast that includes Oprah Winfrey, Reese Witherspoon, Mindy Kaling, Chris Pine, and newcomer Storm Reid, the major motion picture bring the world of Wrinkle to life for a new generation of fans. This movie tie-in edition of the timeless novel features the complete, unabridged original text; an introduction by the film’s director, Ava DuVernay (Selma); and eight pages of photos from the movie. This title has Common Core connections. Praise for A Wrinkle in Time: ""One of America’s most beloved stories."" —Andrew Liptak in Kirkus “A coming of age fantasy story that sympathizes with typical teen girl awkwardness and insecurity, highlighting courage, resourcefulness and the importance of family ties as key to overcoming them.” —Carol Platt Liebau, author, in the New York Post “An exhilarating experience.” —Kirkus Reviews “This imaginative book will be read for a long time into the future.” —Children's Literature “A Wrinkle in Time is one of my favorite books of all time. I've read it so often, I know it by heart. Meg Murry was my hero growing up. I wanted glasses and braces and my parents to stick me in an attic bedroom. And I so wanted to save Charles Wallace from IT.” —Meg Cabot “A book that every young person should read, a book that provides a road map for seeking knowledge and compassion even at the worst of times, a book to make the world a better place.” —Cory Doctorow “[L'Engle's] work is one of the things that made me a writer, a science fiction and fantasy fan, an avid reader. Hers were the first books I read that mixed math and magic, the quest and the quantum.” —Scott Westerfeld “A Wrinkle in Time taught me that you can tackle even the deepest and most slippery concepts of physics and philosophy in fiction for young readers. It's a great lesson for all writers, and a tough tesseract to follow.” —David Lubar",US,,
112,112,60194162,Demon Copperhead,Barbara Kingsolver,"Kingsolver, Barbara",,0,0,0,4.47,Harper,Hardcover,560,2022,,2023-12-04,to-read,to-read (#10),to-read,,,,0,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
113,113,54814676,Crying in H Mart,Michelle Zauner,"Zauner, Michelle",,0525657746,9780525657743,0,4.23,Knopf,Hardcover,256,2021,,2023-12-04,to-read,to-read (#9),to-read,,,,0,0,2021-04-20,NOT_MATURE,"#1 NEW YORK TIMES BESTSELLER • From the indie rock sensation known as Japanese Breakfast, an unforgettable memoir about family, food, grief, love, and growing up Korean American—“in losing her mother and cooking to bring her back to life, Zauner became herself” (NPR). • CELEBRATING OVER ONE YEAR ON THE NEW YORK TIMES BESTSELLER LIST In this exquisite story of family, food, grief, and endurance, Michelle Zauner proves herself far more than a dazzling singer, songwriter, and guitarist. With humor and heart, she tells of growing up one of the few Asian American kids at her school in Eugene, Oregon; of struggling with her mother's particular, high expectations of her; of a painful adolescence; of treasured months spent in her grandmother's tiny apartment in Seoul, where she and her mother would bond, late at night, over heaping plates of food. As she grew up, moving to the East Coast for college, finding work in the restaurant industry, and performing gigs with her fledgling band--and meeting the man who would become her husband--her Koreanness began to feel ever more distant, even as she found the life she wanted to live. It was her mother's diagnosis of terminal cancer, when Michelle was twenty-five, that forced a reckoning with her identity and brought her to reclaim the gifts of taste, language, and history her mother had given her. Vivacious and plainspoken, lyrical and honest, Zauner's voice is as radiantly alive on the page as it is onstage. Rich with intimate anecdotes that will resonate widely, and complete with family photos, Crying in H Mart is a book to cherish, share, and reread.",US,,
114,114,30165203,"American Gods: Tenth Anniversary (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,0,0,0,4.1,William Morrow,Kindle Edition,635,2001,,2023-12-03,to-read,to-read (#8),to-read,,,,0,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
115,115,41804,"I, Robot (Robot, #0.1)",Isaac Asimov,"Asimov, Isaac",,0553803700,9780553803709,0,4.21,Bantam Books,Hardcover,224,1950,,2023-12-03,to-read,to-read (#7),to-read,,,,0,0,2004-01-01,NOT_MATURE,The development of robot technology to a state of perfection by future civilizations is explored in nine science fiction stories.,US,,
116,116,29579,"Foundation (Foundation, #1)",Isaac Asimov,"Asimov, Isaac",,0553803719,9780553803716,0,4.17,Bantam,Hardcover,244,1951,,2023-12-03,to-read,to-read (#6),to-read,,,,0,0,2004-01-01,NOT_MATURE,"As the Galactic Empire declines, psychohistorian Hari Seldon and his band of psychobiologists form the Foundation, designed to be the nucleus of an eventual ideal universal ruling corporation.",US,,
117,117,39943621,"Fire & Blood (A Targaryen History, #1)",George R.R. Martin,"Martin, George R.R.",Doug Wheatley,152479628X,9781524796280,0,4.05,Random House Worlds,Hardcover,706,2018,,2023-12-03,to-read,to-read (#5),to-read,,,,0,0,2018-11-20,NOT_MATURE,"#1 NEW YORK TIMES BESTSELLER • The history of the Targaryens comes to life in this masterly work, the inspiration for HBO’s Game of Thrones prequel series House of the Dragon “The thrill of Fire & Blood is the thrill of all Martin’s fantasy work: familiar myths debunked, the whole trope table flipped.”—Entertainment Weekly Centuries before the events of A Game of Thrones, House Targaryen—the only family of dragonlords to survive the Doom of Valyria—took up residence on Dragonstone. Fire & Blood begins their tale with the legendary Aegon the Conqueror, creator of the Iron Throne, and goes on to recount the generations of Targaryens who fought to hold that iconic seat, all the way up to the civil war that nearly tore their dynasty apart. What really happened during the Dance of the Dragons? Why was it so deadly to visit Valyria after the Doom? What were Maegor the Cruel’s worst crimes? What was it like in Westeros when dragons ruled the skies? These are but a few of the questions answered in this essential chronicle, as related by a learned maester of the Citadel and featuring more than eighty black-and-white illustrations by artist Doug Wheatley. Readers have glimpsed small parts of this narrative in such volumes as The World of Ice & Fire, but now, for the first time, the full tapestry of Targaryen history is revealed. With all the scope and grandeur of Gibbon’s The History of the Decline and Fall of the Roman Empire, Fire & Blood is the first volume of the definitive two-part history of the Targaryens, giving readers a whole new appreciation for the dynamic, often bloody, and always fascinating history of Westeros. Praise for Fire & Blood “A masterpiece of popular historical fiction.” —The Sunday Times “The saga is a rich and dark one, full of both the title’s promised elements. . . . It’s hard not to thrill to the descriptions of dragons engaging in airborne combat, or the dilemma of whether defeated rulers should ‘bend the knee,’ ‘take the black’ and join the Night’s Watch, or simply meet an inventive and horrible end.”—The Guardian",US,,
118,118,3836,Don Quixote,Miguel de Cervantes Saavedra,"Saavedra, Miguel de Cervantes","John Rutherford, Roberto González Echevarría",0,0,0,3.91,Penguin Books,Paperback,1023,1615,,2023-12-03,to-read,to-read (#4),to-read,,,,0,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
119,119,228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,0812511816,9780812511819,0,4.19,Tor Books,Mass Market Paperback,800,1990,,2023-12-03,to-read,to-read (#3),to-read,,,,0,0,,,,,,
120,120,14817,A Scanner Darkly,Philip K. Dick,"Dick, Philip K.",,057507681X,9780575076815,0,4.03,Gollancz,Paperback,324,1977,,2023-12-03,to-read,to-read (#2),to-read,,,,0,0,2006-01-01,NOT_MATURE,"Substance D -- otherwise known as Death -- is the most dangerous drug ever to find its way on to the black market. It destroys the links between the brain's two hemispheres, leading first to disorentation and then to complete and irreversible brain damage. Bob Arctor, undercover narcotics agent, is trying to find a lead to the source of supply, but to pass as an addict he must become a user, and soon, without knowing what is happening to him, he is as dependent as any of the addicts he is monitoring.",US,,
121,121,49189494,We Are All the Same in the Dark,Julia Heaberlin,"Heaberlin, Julia",,0525621679,9780525621676,0,3.78,Ballantine Books,Hardcover,352,2020,2023-12-11,2023-12-03,,,read,,,,1,0,2020-01-01,NOT_MATURE,A new thriller from the internationally bestselling author of Black-Eyed Susans.,US,,
122,122,32186143,"The Lady of the Lake (The Witcher, #5)",Andrzej Sapkowski,"Sapkowski, Andrzej",David   French,0,0,0,4.09,Orbit,Kindle Edition,560,1999,2023-12-31,2023-12-03,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
123,123,20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,0385353308,9780385353304,0,4.07,Knopf,Hardcover,333,2014,2022-06-24,2023-12-03,,,read,,,,1,0,2014-09-09,NOT_MATURE,"NATIONAL BESTSELLER • NATIONAL BOOK AWARD FINALIST • A PEN/FAULKNER AWARD FINALIST • Set in the eerie days of civilization’s collapse—the spellbinding story of a Hollywood star, his would-be savior, and a nomadic group of actors roaming the scattered outposts of the Great Lakes region, risking everything for art and humanity. • Now an original series on HBO Max. • Over one million copies sold! Kirsten Raymonde will never forget the night Arthur Leander, the famous Hollywood actor, had a heart attack on stage during a production of King Lear. That was the night when a devastating flu pandemic arrived in the city, and within weeks, civilization as we know it came to an end. Twenty years later, Kirsten moves between the settlements of the altered world with a small troupe of actors and musicians. They call themselves The Traveling Symphony, and they have dedicated themselves to keeping the remnants of art and humanity alive. But when they arrive in St. Deborah by the Water, they encounter a violent prophet who will threaten the tiny band’s existence. And as the story takes off, moving back and forth in time, and vividly depicting life before and after the pandemic, the strange twist of fate that connects them all will be revealed. Look for Emily St. John Mandel’s bestselling new novel, Sea of Tranquility!",US,,
124,124,45754981,The Glass Hotel,Emily St. John Mandel,"Mandel, Emily St. John",,0525521143,9780525521143,0,3.69,Alfred A. Knopf,Hardcover,307,2020,2022-07-09,2023-12-03,,,read,,,,1,0,2020-03-24,NOT_MATURE,"INTERNATIONAL BESTSELLER • From the bestselling author of Station Eleven and Sea of Tranquility, an exhilarating novel set at the glittering intersection of two seemingly disparate events—the exposure of a massive criminal enterprise and the mysterious disappearance of a woman from a ship at sea. “The perfect novel ... Freshly mysterious.” —The Washington Post Vincent is a bartender at the Hotel Caiette, a five-star lodging on the northernmost tip of Vancouver Island. On the night she meets Jonathan Alkaitis, a hooded figure scrawls a message on the lobby's glass wall: Why don’t you swallow broken glass. High above Manhattan, a greater crime is committed: Alkaitis's billion-dollar business is really nothing more than a game of smoke and mirrors. When his scheme collapses, it obliterates countless fortunes and devastates lives. Vincent, who had been posing as Jonathan’s wife, walks away into the night. Years later, a victim of the fraud is hired to investigate a strange occurrence: a woman has seemingly vanished from the deck of a container ship between ports of call. In this captivating story of crisis and survival, Emily St. John Mandel takes readers through often hidden landscapes: campgrounds for the near-homeless, underground electronica clubs, service in luxury hotels, and life in a federal prison. Rife with unexpected beauty, The Glass Hotel is a captivating portrait of greed and guilt, love and delusion, ghosts and unintended consequences, and the infinite ways we search for meaning in our lives. Look for Emily St. John Mandel’s bestselling new novel, Sea of Tranquility!",US,,
125,125,66797,Smith of Wootton Major & Farmer Giles of Ham,J.R.R. Tolkien,"Tolkien, J.R.R.",Pauline Baynes,0,0,0,3.95,Del Rey,Mass Market Paperback,156,1949,2022-07-25,2023-12-03,,,read,,,,1,0,2025-10-30,NOT_MATURE,"Have you ever wondered why that 13-digit number on the back of a book costs $125 in the United States but is completely free in Canada and India? This book, The Global ISBN Handbook, is your 2025 guide to the International Standard Book Number. It explains everything about this global ""fingerprint"" for books. The ISBN is the most important cornerstone of the publishing industry. It started as a simple warehouse tool in the 1960s. Now, it is a complex digital identifier used in over 200 countries. This handbook deconstructs the entire system. It uses 15 distinct national case studies to do this. You will learn how the old 10-digit system changed to the new 13-digit one. We break down the five parts of the ISBN, from the ""Bookland"" prefix to the final check digit. The book explores the global governance framework, starting with the International ISBN Agency. Then, it dives deep into how different countries run their systems. You'll see the privatized, high-cost model in the United States. You'll compare it to Canada's free, government-run system. We explore the industry-led models in Brazil and Germany. We look at government-run systems in Mexico and India. We even cover the unique case of China, where the ISBN is not a simple identifier but a state-controlled publication license. The book also examines the systems in the UK , France , Russia , Japan , Australia , South Africa , Nigeria , and Egypt. Many books and websites can tell you how to get an ISBN. This handbook is the only resource that explains why the process is so different everywhere you look. It moves beyond a simple ""how-to"" and provides a true global analysis. It directly compares the privatized, for-profit models in the US and UK against the free, public-good systems in Canada and South Africa. You won't just learn the price; you will understand the cultural policies, market structures, and legal philosophies that shape that price. This book shows how the ISBN is a ""global mirror"". It reveals how a simple number can be a commercial product in one nation , a tool of cultural policy in another , and an instrument of state control in a third. This comparative insight is the missing piece for any author, publisher, or researcher trying to navigate the complex international publishing market. Disclaimer: This handbook is an independently produced resource for commentary and analysis. The author has no affiliation with the International ISBN Agency, R.R. Bowker, Library and Archives Canada, the National Press and Publication Administration, or any other national ISBN agency. This work is independently produced under the principle of nominative fair use.",US,,
126,126,24400501,The Story of Kullervo,J.R.R. Tolkien,"Tolkien, J.R.R.","Verlyn Flieger, Luca Manini, Stefania Marinoni",0008131376,9780008131371,0,3.43,Harper Collins,ebook,192,2015,2022-08-10,2023-12-03,,,read,,,,1,0,2015-08-27,NOT_MATURE,"The world first publication of a previously unknown work of fantasy by J.R.R. Tolkien, which tells the powerful story of a doomed young man who is sold into slavery and who swears revenge on the magician who killed his father.",US,,
127,127,18247597,"The Tower of the Swallow (The Witcher, #4)",Andrzej Sapkowski,"Sapkowski, Andrzej",David   French,1473211565,9781473211568,0,4.22,Gollancz,Paperback,448,1997,2022-08-26,2023-12-03,,,read,,,,1,0,2016-01-01,NOT_MATURE,"The world has fallen into war. Ciri, the child of prophecy, has vanished. Hunted by friends and foes alike, she has taken on the guise of a petty bandit and lives free for the first time in her life. But the net around her is closing. Geralt, the Witcher, has assembled a group of allies determined to rescue her. Both sides of the war have sent brutal mercenaries to hunt her down. Her crimes have made her famous. There is only one place left to run. The tower of the swallow is waiting",US,,
128,128,32620332,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,1501139231,9781501139239,0,4.4,Atria Books,Hardcover,389,2017,2022-09-11,2023-12-03,,,read,,,,1,0,2017-06-13,NOT_MATURE,The epic adventures Evelyn creates over the course of a lifetime will leave every reader mesmerized. This wildly addictive journey of a reclusive Hollywood starlet and her tumultuous Tinseltown journey comes with unexpected twists and the most satisfying of drama.,US,,
